sector,subsector,indicator_name,date,region_state,value,unit,frequency,source,notes
agriculture,foodgrains,Foodgrain yield — Cereals,2011-03-01,All India,2239.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,2012-03-01,All India,2393.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,2013-03-01,All India,2461.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,2014-03-01,All India,2424.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,2015-03-01,All India,2390.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,2016-03-01,All India,2400.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,2017-03-01,All India,2494.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,2018-03-01,All India,2576.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,2019-03-01,All India,2638.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,2020-03-01,All India,2722.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,2021-03-01,All India,2717.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,2022-03-01,All India,2797.647447,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,2023-03-01,All India,2838.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,2024-03-01,All India,2882.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,2025-03-01,All India,2929.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Cereals,2026-03-01,All India,2819.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1951-03-01,All India,441.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1952-03-01,All India,448.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1953-03-01,All India,463.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1954-03-01,All India,489.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1955-03-01,All India,500.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1956-03-01,All India,476.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1957-03-01,All India,495.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1958-03-01,All India,424.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1959-03-01,All India,541.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1960-03-01,All India,475.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1961-03-01,All India,539.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1962-03-01,All India,485.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1963-03-01,All India,475.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1964-03-01,All India,416.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1965-03-01,All India,520.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1966-03-01,All India,438.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1967-03-01,All India,377.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1968-03-01,All India,534.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1969-03-01,All India,490.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1970-03-01,All India,531.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1971-03-01,All India,524.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1972-03-01,All India,501.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1973-03-01,All India,474.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1974-03-01,All India,427.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1975-03-01,All India,455.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1976-03-01,All India,533.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1977-03-01,All India,494.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1978-03-01,All India,510.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1979-03-01,All India,515.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1980-03-01,All India,385.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1981-03-01,All India,473.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1982-03-01,All India,483.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1983-03-01,All India,519.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1984-03-01,All India,548.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1985-03-01,All India,526.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1986-03-01,All India,547.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1987-03-01,All India,506.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1988-03-01,All India,515.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1989-03-01,All India,598.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1990-03-01,All India,549.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1991-03-01,All India,578.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1992-03-01,All India,533.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1993-03-01,All India,573.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1994-03-01,All India,598.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1995-03-01,All India,610.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1996-03-01,All India,552.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1997-03-01,All India,635.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1998-03-01,All India,567.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,1999-03-01,All India,634.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2000-03-01,All India,635.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2001-03-01,All India,544.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2002-03-01,All India,607.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2003-03-01,All India,543.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2004-03-01,All India,635.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2005-03-01,All India,577.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2006-03-01,All India,598.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2007-03-01,All India,612.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2008-03-01,All India,625.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2009-03-01,All India,659.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2010-03-01,All India,630.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2011-03-01,All India,691.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2012-03-01,All India,699.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2013-03-01,All India,789.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2014-03-01,All India,764.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2015-03-01,All India,744.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2016-03-01,All India,656.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2017-03-01,All India,786.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2018-03-01,All India,853.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2019-03-01,All India,757.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2020-03-01,All India,823.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2021-03-01,All India,885.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2022-03-01,All India,888.395788,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2023-03-01,All India,902.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2024-03-01,All India,881.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2025-03-01,All India,926.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Pulses,2026-03-01,All India,678.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Total Foodgrains,1951-03-01,All India,522.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Total Foodgrains,1952-03-01,All India,536.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Total Foodgrains,1953-03-01,All India,580.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Total Foodgrains,1954-03-01,All India,640.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Total Foodgrains,1955-03-01,All India,631.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Total Foodgrains,1956-03-01,All India,605.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Total Foodgrains,1957-03-01,All India,629.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Total Foodgrains,1958-03-01,All India,587.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Total Foodgrains,1959-03-01,All India,672.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Total Foodgrains,1960-03-01,All India,662.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Total Foodgrains,1961-03-01,All India,710.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Total Foodgrains,1962-03-01,All India,706.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Total Foodgrains,1963-03-01,All India,680.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Total Foodgrains,1964-03-01,All India,687.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Total Foodgrains,1965-03-01,All India,757.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Total Foodgrains,1966-03-01,All India,629.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
agriculture,foodgrains,Foodgrain yield — Total Foodgrains,1967-03-01,All India,644.0,kg/hectare,yearly,Yield Per Hectare - Foodgrains.xlsx,
